text,label
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
Bitcoin price spikes to new heights!,0
Market crashes as regulatory fears increase.,1
The price of BTC remains stable today.,2
